    ID                   X                   Y           Curve
     5        0.0000000000     2916.5168457031   Abstrom_Nodes
     5        0.0010000000   -30846.4648437500   Abstrom_Nodes
     5        0.0051985577   -30845.8964843750   Abstrom_Nodes
     5        0.0142728200   -30844.7890625000   Abstrom_Nodes
     5        0.0255973077   -30843.6445312500   Abstrom_Nodes
     5        0.0551870575   -30841.4101562500   Abstrom_Nodes
     5        0.1318597010   -30837.8613281250   Abstrom_Nodes
     5        0.3199014923   -30833.2539062500   Abstrom_Nodes
     5        0.7410981915   -30828.6171875000   Abstrom_Nodes
     5        1.8937479517   -30825.8007812500   Abstrom_Nodes
     5        4.4423810503   -30834.1914062500   Abstrom_Nodes
     5        9.5350777170   -30849.8261718750   Abstrom_Nodes
     5       18.7575289271   -30862.7949218750   Abstrom_Nodes
     5       30.9999996683   -30866.7773437500   Abstrom_Nodes
     5       30.9999996993   -24251.3320312500   Abstrom_Nodes
     5       31.0000034422   -30862.5585937500   Abstrom_Nodes
     5       31.0000071850   -30867.2734375000   Abstrom_Nodes
     5       31.0000437552   -30862.9414062500   Abstrom_Nodes
     5       31.0001756300   -30864.0078125000   Abstrom_Nodes
     5       31.0004956047   -30863.6191406250   Abstrom_Nodes
     5       31.0013722846   -30864.2167968750   Abstrom_Nodes
     5       31.0038237352   -30865.3457031250   Abstrom_Nodes
     5       31.0115096890   -30867.3300781250   Abstrom_Nodes
     5       31.0337409120   -30867.5605468750   Abstrom_Nodes
     5       31.0941370022   -30862.8886718750   Abstrom_Nodes
     5       31.2576961409   -30858.0273437500   Abstrom_Nodes
     5       31.6686254036   -30852.1367187500   Abstrom_Nodes
     5       32.6905614626   -30843.5097656250   Abstrom_Nodes
     5       34.9057330381   -30832.4296875000   Abstrom_Nodes
     5       39.4290165197   -30826.9863281250   Abstrom_Nodes
     5       49.5440782797   -30808.5273437500   Abstrom_Nodes
     5       58.9999994528   -30802.8945312500   Abstrom_Nodes
     5       58.9999995118   -24562.8437500000   Abstrom_Nodes
     5       59.0000070359   -30806.7304687500   Abstrom_Nodes
     5       59.0000145601   -30804.3808593750   Abstrom_Nodes
     5       59.0000847379   -30806.5761718750   Abstrom_Nodes
     5       59.0003303861   -30807.1425781250   Abstrom_Nodes
     5       59.0009207878   -30807.3476562500   Abstrom_Nodes
     5       59.0024224471   -30808.0371093750   Abstrom_Nodes
     5       59.0070011218   -30809.5546875000   Abstrom_Nodes
     5       59.0196328101   -30810.8847656250   Abstrom_Nodes
     5       59.0617062201   -30809.1503906250   Abstrom_Nodes
     5       59.1753836547   -30803.4238281250   Abstrom_Nodes
